state,x,y
Andhra Pradesh,-43.0, -81.0
Arunachal Pradesh,145.0, 95.0
Assam,125.0, 66.0
Bihar,34.0, 56.0
Chhattisgarh,-15.0, 3.0
Goa,-106.0, -79.0
Gujarath,-140.0, 18.0
Haryana,-80.0, 105.0
Himachal Pradesh,-66.0, 148.0
Jharkhand,31.0, 28.0
Karnataka,-83.0, -83.0
Kerala,-77.0, -140.0
Madhya Pradesh,-55.0, 25.0
Maharashtra,-88.0, -19.0
Manipur,135.0, 45.0
Meghalaya,103.0, 54.0
Mizoram,123.0, 27.0
Nagaland,143.0, 64.0
Odisha,16.0, -11.0
Punjab,-90.0, 128.0
Rajasthan,-111.0, 70.0
Sikkim,69.0, 83.0
Tamil Nadu,-49.0, -126.0
Telangana,-45.0, -41.0
Tripura,108.0, 31.0
Uttarakhand,-42.0, 122.0
Uttar Pradesh,-28.0, 76.0
West Bengal,64.0,28.0




















































